customer_id,first_name,last_name,phone,email,loyalty_id
1,Kathy,Jones,8243343078,ucook@example.net,1
2,Richard,Diaz,2578799891,stephanie93@example.com,2
3,Steven,Medina,3932152834,dsanchez@example.net,3
4,Angela,Washington,6794472057,vickimitchell@example.com,4
5,Valerie,Crawford,3886602382,sabrinawade@example.org,5
6,Heather,Harris,8016283163,colleenbanks@example.net,6
7,Michael,Tate,5483236415,barbara17@example.net,7
8,Heidi,Garcia,8909611558,mayvalerie@example.com,8
9,Maria,Martinez,7998220226,cathymunoz@example.com,9
10,Manuel,Mcdowell,2367791606,bendermelissa@example.net,10
11,Michael,Morris,8789807518,sandraarnold@example.org,11
12,Brittany,Newman,1971010428,weberkelly@example.net,12
13,Bobby,Johnson,1550843953,christopher72@example.net,13
14,Derek,Johnson,2540252343,jpeck@example.com,14
15,Justin,Moore,3634093270,michelle28@example.org,15
16,Laura,Wallace,6802079476,perezmary@example.net,16
17,Stephen,Roberts,6531917130,mark02@example.org,17
18,Ronald,Turner,8556967456,sheila48@example.net,18
19,Carly,Douglas,3876616699,kathymorgan@example.com,19
20,Leah,Suarez,6454768677,danielmartin@example.org,20
21,Renee,Anderson,5094902628,vicki12@example.com,21
22,Jacqueline,Yates,2144949696,brendadecker@example.net,22
23,Alexander,Krause,2972635699,elizabeth53@example.org,23
24,Barbara,Harris,8175267442,nrangel@example.net,24
25,Kayla,Green,5678847899,harrissarah@example.org,25
26,Angela,Scott,4392372029,jackmorris@example.com,26
27,Steven,Price,1625591945,kevinochoa@example.org,27
28,Brittany,Campbell,6494261384,marquezlisa@example.net,28
29,Daniel,Newton,3432426479,michelle01@example.org,29
30,Nathan,Fernandez,4339176483,bmoore@example.org,30
31,Melissa,Wood,9082393031,sarah56@example.org,31
32,William,Giles,2107770116,alisha45@example.org,32
33,Derek,Morales,5675215045,ksmith@example.org,33
34,Daniel,Johnson,2494822277,fuentesmark@example.org,34
35,Ashley,Avery,7728620436,antoniobaxter@example.com,35
36,James,Patel,8387263731,vmann@example.net,36
37,Mary,Shepard,1964673817,lindseyscott@example.org,37
38,Nathaniel,Trevino,7359181656,tamararasmussen@example.org,38
39,Jessica,Moore,4375647213,jacksonalexander@example.org,39
40,Angel,Castillo,5605668760,ccox@example.net,40
41,Rachel,Jones,5334741826,petersonsamuel@example.net,41
42,Brenda,Marshall,8741795717,susanwilkerson@example.com,42
43,April,Martinez,5389356935,jim55@example.net,43
44,Ralph,Wheeler,1338630102,joshua45@example.com,44
45,Richard,Hernandez,6169000163,christina58@example.org,45
46,David,Turner,2630179156,kendrabaker@example.org,46
47,John,Nunez,4262232327,snydermarisa@example.net,47
48,Craig,Caldwell,5947334123,markfreeman@example.net,48
49,Mary,Rodgers,9195850922,andreabryant@example.org,49
50,Brenda,Good,8553771923,katiesmith@example.com,50
51,Samantha,Miller,9201759490,rgray@example.org,51
52,Cynthia,Hammond,9035120478,callahanchris@example.org,52
53,Jimmy,Cooper,9176988494,qhansen@example.net,53
54,Collin,White,4777547836,kennethriddle@example.net,54
55,Heather,Mcgee,7391662975,fbaker@example.net,55
56,Matthew,Bowen,8337644436,rbryant@example.net,56
57,Steven,Velazquez,1120498263,ericwright@example.net,57
58,Samantha,Robertson,3354715300,oferguson@example.net,58
59,Heather,Garcia,1639527193,nathanielsexton@example.net,59
60,Alyssa,Reyes,5105180471,diana44@example.org,60
